first_name,last_name,dob,points_2019,points_2020,points_2021,club,position,price
dong-gyeong,lee,20/09/1997,nan,nan,nan,fc schalke 04,midfield,0.7
woo-yeong,jeong,20/09/1999,nan,45.0,108.0,sc freiburg,midfield,2.0
noah,weißhaupt,20/09/2001,nan,nan,22.0,sc freiburg,midfield,1.0
youssoufa,moukoko,20/11/2004,nan,25.0,36.0,borussia dortmund,attack,1.7
rick,van drongelen,20/12/1998,nan,nan,nan,1. fc union berlin,defense,1.0
mathias,olesen,21/03/2001,nan,nan,nan,1. fc köln,midfield,0.5
lasse,günther,21/03/2003,nan,nan,6.0,fc augsburg,midfield,0.6
mitchell,weiser,21/04/1994,5.0,15.0,nan,werder bremen,defense,1.2
jonas,nickisch,21/05/2004,nan,nan,nan,rb leipzig,goal,0.5
jacek,goralski,21/09/1992,nan,nan,nan,vfl bochum,midfield,1.5
moritz,nicolas,21/10/1997,-2.0,nan,nan,bor. mönchengladbach,goal,0.5
göktan,gürpüz,22/01/2003,nan,nan,nan,borussia dortmund,midfield,0.5
nikolas,nartey,22/02/2000,nan,nan,14.0,vfb stuttgart,midfield,1.3
tobias,sippel,22/03/1988,nan,23.0,2.0,bor. mönchengladbach,goal,0.7
sebastiaan,bornauw,22/03/1999,107.0,65.0,84.0,vfl wolfsburg,defense,2.2
oliver,christensen,22/03/1999,nan,nan,nan,hertha bsc,goal,2.0
nan,nan,22/04/1997,nan,nan,nan,1. fsv mainz 05,defense,1.8
david,raum,22/04/1998,nan,nan,209.0,tsg hoffenheim,defense,4.0
robin,knoche,22/05/1992,67.0,75.0,130.0,1. fc union berlin,defense,2.0
roland,sallai,22/05/1997,30.0,104.0,127.0,sc freiburg,midfield,2.6
joshua,zirkzee,22/05/2001,29.0,nan,nan,bayern münchen,attack,1.5
antonis,aidonis,22/05/2001,nan,nan,nan,vfb stuttgart,defense,0.5
jonathan,schmid,22/06/1990,83.0,60.0,33.0,sc freiburg,defense,1.7
tom,krauß,22/06/2001,1.0,nan,nan,fc schalke 04,midfield,1.6
paul,jaeckel,22/07/1998,nan,nan,74.0,1. fc union berlin,defense,1.5
jens,grahl,22/09/1988,nan,nan,6.0,eintracht frankfurt,goal,0.5
robert,andrich,22/09/1994,61.0,105.0,152.0,bayer 04 leverkusen,midfield,2.8
christopher,lenz,22/09/1994,29.0,65.0,35.0,eintracht frankfurt,defense,1.5
saidy,janko,22/10/1995,nan,nan,nan,vfl bochum,defense,1.4
michael,esser,22/11/1987,nan,nan,22.0,vfl bochum,goal,0.8
erhan,masovic,22/11/1998,nan,nan,72.0,vfl bochum,defense,1.5
raphael,guerreiro,22/12/1993,103.0,119.0,77.0,borussia dortmund,defense,2.8
jerome,onguené,22/12/1997,nan,nan,nan,eintracht frankfurt,defense,1.8
tymoteusz,puchacz,23/01/1999,nan,nan,nan,1. fc union berlin,defense,1.3
benjamin,henrichs,23/02/1997,nan,13.0,84.0,rb leipzig,defense,2.3
juan,josé perea,23/02/2000,nan,nan,nan,vfb stuttgart,attack,1.5
nan,nan,23/03/1997,nan,nan,nan,fc augsburg,defense,1.8
sargis,adamyan,23/05/1993,51.0,48.0,nan,1. fc köln,attack,1.7
josip,brekalo,23/06/1998,26.0,77.0,nan,vfl wolfsburg,midfield,1.8
linton,maina,23/06/1999,nan,nan,nan,1. fc köln,midfield,1.4
kevin,vogt,23/09/1991,60.0,53.0,148.0,tsg hoffenheim,defense,2.6
emil,forsberg,23/10/1991,62.0,111.0,162.0,rb leipzig,midfield,3.8
paul,wanner,23/12/2005,nan,nan,8.0,bayern münchen,midfield,0.7
patrik,schick,24/01/1996,99.0,58.0,258.0,bayer 04 leverkusen,attack,6.5
hugo,novoa,24/01/2003,nan,nan,21.0,rb leipzig,attack,1.0
christopher,trimmel,24/02/1987,61.0,89.0,118.0,1. fc union berlin,defense,2.2
marlon,mustapha,24/05/2001,nan,nan,nan,1. fsv mainz 05,attack,0.8
yvandro,borges sanches,24/05/2004,nan,nan,nan,bor. mönchengladbach,attack,0.5
maya,yoshida,24/08/1988,nan,nan,nan,fc schalke 04,defense,1.9
mark,uth,24/08/1991,63.0,-8.0,183.0,1. fc köln,midfield,3.0
stefan,bell,24/08/1991,nan,52.0,155.0,1. fsv mainz 05,defense,2.3
tobias,mohr,24/08/1995,nan,nan,nan,fc schalke 04,midfield,1.7
dodi,lukebakio,24/09/1997,28.0,22.0,42.0,hertha bsc,attack,1.6
cristian,gamboa,24/10/1989,nan,nan,115.0,vfl bochum,defense,2.2
florian,niederlechner,24/10/1990,136.0,20.0,68.0,fc augsburg,attack,1.7
florian,kainz,24/10/1992,77.0,6.0,157.0,1. fc köln,midfield,2.4
lukas,hradecky,24/11/1989,193.0,140.0,215.0,bayer 04 leverkusen,goal,3.2
marco,richter,24/11/1997,46.0,41.0,78.0,hertha bsc,attack,1.7
lennart,grill,25/01/1999,nan,22.0,8.0,1. fc union berlin,goal,0.7
santiago,ascacibar,25/02/1997,8.0,27.0,45.0,hertha bsc,midfield,1.4
gerrit,holtmann,25/03/1995,-2.0,nan,121.0,vfl bochum,midfield,2.0
ermedin,demirovic,25/03/1998,nan,83.0,75.0,fc augsburg,attack,1.7
ozan,kabak,25/03/2000,106.0,nan,nan,fc schalke 04,defense,2.0
pavel,kaderabek,25/04/1992,70.0,55.0,70.0,tsg hoffenheim,defense,1.8
marvin,schwäbe,25/04/1995,nan,nan,171.0,1. fc köln,goal,3.4
kingsley,ehizibue,25/05/1995,18.0,-7.0,35.0,1. fc köln,defense,1.4
noah,atubolu,25/05/2002,nan,nan,nan,sc freiburg,goal,0.5
koen,casteels,25/06/1992,125.0,183.0,190.0,vfl wolfsburg,goal,3.2
torben,müsel,25/07/1999,1.0,nan,nan,bor. mönchengladbach,midfield,0.5
adam,hlozek,25/07/2002,nan,nan,nan,bayer 04 leverkusen,attack,2.4
dominik,szoboszlai,25/10/2000,nan,nan,121.0,rb leipzig,midfield,2.8
marvin,plattenhardt,26/01/1992,24.0,30.0,58.0,hertha bsc,defense,1.5
jamie,leweling,26/02/2001,nan,nan,111.0,1. fc union berlin,attack,1.8
bright,arrey-mbi,26/03/2003,nan,nan,nan,1. fc köln,defense,0.6
jordan,siebatcheu,26/04/1996,nan,nan,nan,1. fc union berlin,attack,2.6
dominick,drexler,26/05/1990,51.0,6.0,nan,fc schalke 04,midfield,1.5
jan,thielmann,26/05/2002,-8.0,17.0,87.0,1. fc köln,midfield,1.7
simon,zoller,26/06/1991,nan,nan,44.0,vfl bochum,attack,1.5
robert,kwasigroch,26/06/2004,nan,nan,nan,hertha bsc,goal,0.5
lars,stindl,26/08/1988,130.0,178.0,98.0,bor. mönchengladbach,midfield,3.5
tomas,koubek,26/08/1992,57.0,nan,nan,fc augsburg,goal,0.7
kerim,calhanoglu,26/08/2002,nan,-16.0,nan,fc schalke 04,midfield,0.7
niko,gießelmann,26/09/1991,1.0,13.0,127.0,1. fc union berlin,defense,2.2
milos,veljkovic,26/09/1995,38.0,22.0,nan,werder bremen,defense,1.7
rafal,gikiewicz,26/10/1987,159.0,179.0,204.0,fc augsburg,goal,2.8
rani,khedira,27/01/1994,24.0,21.0,115.0,1. fc union berlin,midfield,1.7
ko,itakura,27/01/1997,nan,nan,nan,bor. mönchengladbach,midfield,2.2
romano,schmid,27/01/2000,nan,11.0,nan,werder bremen,midfield,1.7
linus,gechter,27/02/2004,nan,nan,25.0,hertha bsc,defense,1.0
manuel,neuer,27/03/1986,191.0,182.0,210.0,bayern münchen,goal,4.5
finn,dahmen,27/03/1998,nan,16.0,8.0,1. fsv mainz 05,goal,0.8
jonas,hector,27/05/1990,84.0,70.0,171.0,1. fc köln,defense,2.8
maximilian,arnold,27/05/1994,128.0,138.0,135.0,vfl wolfsburg,midfield,2.6
marius,wolf,27/05/1995,-2.0,24.0,87.0,borussia dortmund,midfield,1.8
konrad,laimer,27/05/1997,125.0,-2.0,125.0,rb leipzig,midfield,3.0
niklas,hauptmann,27/06/1996,nan,nan,nan,1. fc köln,midfield,0.8
lasse,rieß,27/07/2001,nan,nan,nan,1. fsv mainz 05,goal,0.5
stefan,lainer,27/08/1992,100.0,89.0,75.0,bor. mönchengladbach,defense,2.3
kevin,stöger,27/08/1993,44.0,33.0,53.0,vfl bochum,midfield,1.6
ralf,fährmann,27/09/1988,nan,93.0,nan,fc schalke 04,goal,1.0
marcel,halstenberg,27/09/1991,96.0,74.0,37.0,rb leipzig,defense,2.6
felix,agu,27/09/1999,nan,22.0,nan,werder bremen,defense,1.6
dayot,upamecano,27/10/1998,87.0,99.0,125.0,bayern münchen,defense,3.4
justin,heekeren,27/11/2000,nan,nan,nan,fc schalke 04,goal,0.6
marc,oliver kempf,28/01/1995,nan,67.0,75.0,hertha bsc,defense,1.8
sebastian,rudy,28/02/1990,46.0,43.0,63.0,tsg hoffenheim,midfield,1.5
christian,günter,28/02/1993,128.0,134.0,216.0,sc freiburg,defense,3.4
benjamin,pavard,28/03/1996,123.0,20.0,77.0,bayern münchen,defense,2.6
almamy,toure,28/04/1996,27.0,25.0,8.0,eintracht frankfurt,defense,1.4
keven,schlotterbeck,28/04/1997,56.0,30.0,26.0,sc freiburg,defense,1.5
melayro,bogarde,28/05/2002,nan,4.0,nan,tsg hoffenheim,defense,0.7
tom,bischof,28/06/2005,nan,nan,2.0,tsg hoffenheim,midfield,0.6
niklas,lomb,28/07/1993,nan,-1.0,nan,bayer 04 leverkusen,goal,0.5
xaver,schlager,28/09/1997,66.0,123.0,64.0,rb leipzig,midfield,3.0
robin,zentner,28/10/1994,97.0,133.0,225.0,1. fsv mainz 05,goal,3.0
dedryck,boyata,28/11/1990,105.0,73.0,69.0,hertha bsc,defense,2.0
luca,philipp,28/11/2000,nan,nan,nan,tsg hoffenheim,goal,0.5
philipp,schulze,29/01/2003,nan,nan,nan,vfl wolfsburg,goal,0.5
jesper,lindström,29/02/2000,nan,nan,130.0,eintracht frankfurt,midfield,2.5
timothy,chandler,29/03/1990,38.0,7.0,28.0,eintracht frankfurt,defense,1.3
thorgan,hazard,29/03/1993,110.0,30.0,65.0,borussia dortmund,attack,2.8
marius,bülter,29/03/1993,58.0,16.0,nan,fc schalke 04,attack,1.7
paul,seguin,29/03/1995,nan,nan,37.0,1. fc union berlin,midfield,1.4
naouirou,ahamada,29/03/2002,nan,-11.0,4.0,vfb stuttgart,midfield,0.5
lucas,tousart,29/04/1997,nan,36.0,50.0,hertha bsc,midfield,1.6
eric,martel,29/04/2002,nan,nan,nan,1. fc köln,midfield,1.3
ben,bobzien,29/04/2003,nan,nan,nan,1. fsv mainz 05,attack,0.5
felix,passlack,29/05/1998,nan,15.0,28.0,borussia dortmund,defense,0.6
rocco,reitz,29/05/2002,nan,5.0,nan,bor. mönchengladbach,midfield,0.5
eniss,shabani,29/05/2003,nan,nan,nan,1. fsv mainz 05,midfield,0.5
silvere,ganvoula,29/06/1996,nan,nan,nan,vfl bochum,attack,1.0
jude,bellingham,29/06/2003,nan,84.0,210.0,borussia dortmund,midfield,5.5
rune,jarstein,29/09/1984,111.0,32.0,nan,hertha bsc,goal,0.7
tom,rothe,29/10/2004,nan,nan,nan,borussia dortmund,defense,0.9
philipp,hofmann,30/03/1993,nan,nan,nan,vfl bochum,attack,2.0
victor,palsson,30/04/1991,nan,nan,nan,fc schalke 04,midfield,1.5
patrick,wimmer,30/05/2001,nan,nan,142.0,vfl wolfsburg,midfield,2.4
danilho,doekhi,30/06/1998,nan,nan,nan,1. fc union berlin,defense,1.8
lukas,kübler,30/08/1992,8.0,17.0,108.0,sc freiburg,defense,1.8
nico,elvedi,30/09/1996,103.0,85.0,57.0,bor. mönchengladbach,defense,2.0
thomas,ouwejan,30/09/1996,nan,nan,nan,fc schalke 04,defense,1.8
peter,pekarik,30/10/1986,30.0,74.0,66.0,hertha bsc,defense,1.3
dominik,kohr,31/01/1994,17.0,50.0,80.0,1. fsv mainz 05,midfield,1.6
amadou,haidara,31/01/1998,20.0,91.0,93.0,rb leipzig,midfield,2.4
nishan,burkart,31/01/2000,nan,nan,nan,sc freiburg,attack,0.5
laurin,ulrich,31/01/2005,nan,nan,nan,vfb stuttgart,midfield,0.5
vasilios,lampropoulos,31/03/1990,nan,nan,20.0,vfl bochum,defense,1.2
marco,reus,31/05/1989,88.0,134.0,217.0,borussia dortmund,midfield,6.5
aaron,zehnter,31/10/2004,nan,nan,nan,fc augsburg,defense,0.5
joe,scally,31/12/2002,nan,nan,71.0,bor. mönchengladbach,defense,1.4
abass,issah,26/09/1998,nan,nan,nan,1. fsv mainz 05,midfield,0.8
ademola,lookman,20/10/1997,-6.0,nan,nan,rb leipzig,attack,1.3
amine,adli,10/05/2000,nan,nan,64.0,bayer 04 leverkusen,attack,1.7
atakan,karazor,13/10/1996,nan,11.0,80.0,vfb stuttgart,midfield,0.8
aymen,barkok,21/05/1998,-2.0,36.0,2.0,1. fsv mainz 05,midfield,1.2
bartosz,bialek,11/11/2001,nan,26.0,26.0,vfl wolfsburg,attack,1.3
borna,sosa,21/01/1998,nan,82.0,134.0,vfb stuttgart,defense,2.4
bouna,sarr,31/01/1992,nan,-2.0,10.0,bayern münchen,defense,1.2
aurelio,buta,10/02/1997,nan,nan,nan,eintracht frankfurt,defense,1.5
chidera,ejuke,02/01/1998,nan,nan,nan,hertha bsc,attack,1.7
chris,richards,28/03/2000,nan,33.0,73.0,bayern münchen,defense,1.7
daniel-kofi,kyereh,08/03/1996,nan,nan,nan,sc freiburg,midfield,2.0
danilo,soares,29/10/1991,nan,nan,139.0,vfl bochum,defense,2.3
dimitrios,limnios,27/05/1998,nan,4.0,nan,1. fc köln,midfield,1.0
diogo,leite,23/01/1999,nan,nan,nan,1. fc union berlin,defense,1.8
dzenan,pejcinovic,15/02/2005,nan,nan,nan,vfl wolfsburg,midfield,0.6
emre,can,12/01/1994,58.0,67.0,130.0,borussia dortmund,midfield,2.8
eric,maxim choupo-moting,23/03/1989,nan,25.0,56.0,bayern münchen,attack,2.2
ermin,bicakcic,24/01/1990,49.0,15.0,2.0,tsg hoffenheim,defense,1.3
fabio,schneider,31/07/2002,nan,nan,nan,1. fc union berlin,midfield,0.5
fabrice,hartmann,02/03/2001,nan,nan,nan,rb leipzig,attack,0.5
felix,nmecha,10/10/2000,nan,nan,29.0,vfl wolfsburg,midfield,0.8
florian,schock,22/05/2001,nan,nan,nan,vfb stuttgart,goal,0.5
florian,wirtz,03/05/2003,18.0,90.0,205.0,bayer 04 leverkusen,midfield,5.0
fredrik,andré björkan,21/08/1998,nan,nan,4.0,hertha bsc,defense,1.0
fynn,otto,08/03/2002,nan,nan,nan,eintracht frankfurt,defense,0.5
giovanni,reyna,13/11/2002,20.0,90.0,43.0,borussia dortmund,midfield,3.5
ihlas,bebou,23/04/1994,44.0,119.0,86.0,tsg hoffenheim,attack,2.2
ilay,elmkies,10/03/2000,1.0,nan,nan,tsg hoffenheim,midfield,0.8
jacob,italiano,30/07/2001,nan,nan,nan,bor. mönchengladbach,attack,0.5
jamal,musiala,26/02/2003,nan,78.0,160.0,bayern münchen,midfield,4.2
jan,schröder,15/04/2003,nan,nan,nan,eintracht frankfurt,defense,0.5
jannik,horz,14/04/2003,nan,nan,nan,eintracht frankfurt,goal,0.5
jean-manuel,mbom,24/02/2000,nan,-9.0,nan,werder bremen,midfield,1.3
jessic,ngankam,20/07/2000,nan,25.0,27.0,hertha bsc,attack,1.3
johannes,schenk,13/01/2003,nan,nan,nan,bayern münchen,goal,0.5
joscha,wosz,20/07/2002,nan,2.0,nan,rb leipzig,midfield,0.5
joshua,eze,20/03/2003,nan,nan,nan,bayer 04 leverkusen,midfield,0.5
josko,gvardiol,23/01/2002,nan,nan,167.0,rb leipzig,defense,3.4
kelian,nsona,11/05/2002,nan,nan,nan,hertha bsc,attack,0.6
kevin,schade,27/11/2001,nan,nan,88.0,sc freiburg,attack,1.8
kouadio,koné,17/05/2001,nan,nan,111.0,bor. mönchengladbach,midfield,2.2
leo,greiml,03/07/2001,nan,nan,nan,fc schalke 04,defense,1.2
leon,goretzka,06/02/1995,136.0,139.0,115.0,bayern münchen,midfield,5.8
lino,kasten,17/01/2001,nan,nan,nan,vfl wolfsburg,goal,0.5
luca,unbehaun,27/02/2001,nan,nan,nan,borussia dortmund,goal,0.5
mamadou,doucouré,21/05/1998,2.0,nan,nan,bor. mönchengladbach,defense,0.5
manuel,akanji,19/07/1995,33.0,77.0,147.0,borussia dortmund,defense,3.0
marcel,lotka,25/05/2001,nan,nan,52.0,borussia dortmund,goal,0.7
marin,pongracic,11/09/1997,29.0,6.0,48.0,vfl wolfsburg,defense,1.5
mattias,svanberg,05/01/1999,nan,nan,nan,vfl wolfsburg,midfield,2.6
michael,langer,06/01/1985,nan,11.0,nan,fc schalke 04,goal,0.5
morten,thorsby,05/05/1996,nan,nan,nan,1. fc union berlin,midfield,1.8
nadiem,amiri,27/10/1996,51.0,19.0,nan,bayer 04 leverkusen,midfield,1.8
nico,schulz,01/04/1993,7.0,9.0,34.0,borussia dortmund,defense,1.5
noah,joel sarenren bazee,21/08/1996,20.0,6.0,32.0,fc augsburg,midfield,0.8
ömer,beyaz,29/08/2003,nan,nan,8.0,vfb stuttgart,midfield,0.5
omar,alderete,26/12/1996,nan,17.0,nan,hertha bsc,defense,2.0
paulo,otavio,23/11/1994,30.0,34.0,33.0,vfl wolfsburg,defense,1.7
philipp,klement,09/09/1992,nan,20.0,nan,vfb stuttgart,midfield,1.2
reece,oxford,16/12/1998,2.0,5.0,134.0,fc augsburg,defense,2.0
ronael,pierre-gabriel,13/06/1998,-13.0,nan,nan,1. fsv mainz 05,defense,1.2
ruben,vargas,05/08/1998,73.0,58.0,64.0,fc augsburg,midfield,1.6
salih,özcan,11/01/1998,nan,16.0,187.0,borussia dortmund,midfield,3.2
sebastien,haller,22/06/1994,nan,nan,nan,borussia dortmund,attack,6.0
solomon,bonnah,19/08/2003,nan,nan,2.0,rb leipzig,defense,0.5
steffen,tigges,31/07/1998,nan,0.0,31.0,1. fc köln,attack,1.6
stevan,jovetic,02/11/1989,nan,nan,92.0,hertha bsc,attack,2.2
timo,baumgartl,04/03/1996,nan,nan,124.0,1. fc union berlin,defense,2.2
tobias,strobl,12/05/1990,22.0,10.0,4.0,fc augsburg,midfield,1.0
wahid,faghir,29/07/2003,nan,nan,19.0,vfb stuttgart,attack,1.0
yussuf,poulsen,15/06/1994,66.0,79.0,121.0,rb leipzig,attack,3.0
